description
"Two crew members start a conversation. Use the Random Conversation rules."
"Two crew members start a conversation. Use the Random Conversation rules."
"Two crew members start a conversation. Use the Random Conversation rules."
"Two crew members start a conversation. Use the Random Conversation rules."
"Two crew members start a conversation. Use the Random Conversation rules."
"Two crew members have an incident (roll a Conversation Topic or Action & Theme, or infer the context from their history). If they were bonded, their bond is now broken."
"One crew member becomes sullen and uncommunicative (-2 to all their actions for the next week)."
"Two crew members bond, gaining +1 to actions involving each other."
"One crew member is celebrating a birthday, religious event or something else. It improves morale and everybody loses 5 Stress."
"The crew conducts a routine training exercise covering depressurization, fire and injury. All crew members receive +1 to their next skill check."
